LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in active training set NsmsA=  36  in passive training set NsmsP=  35  in calibratuion set NsmsC=  36 Nact=  0 NactSFk=  0

Hydrogen filled graph (HFG) is used in the model
SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in active training set with SA
N2 is the number of SMILES in passive training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in active training set is 36
The number of SMILES in passive training set is 35
The number of SMILES in calibration set is 36


 SAk        : CW(SAk)    :        ID  :        NA  :        NP  :        NC  : DEFECT[SAk]:  Active 
BOND01100000:         0.0:         122:           1:           1:           1:      1.0000:  FALSE
BOND10000000:         0.0:         123:           0:           1:           0:      1.0000:  FALSE
BOND11000000:     -0.0988:         124:           4:           5:           7:      0.0104:  TRUE
BOND11100000:         0.0:         125:           0:           1:           3:      1.0000:  FALSE
F...(.......:         0.0:         126:           1:           2:           4:      1.0000:  FALSE
F...........:         0.0:         127:           1:           4:           5:      1.0000:  FALSE
F...1.......:         0.0:         128:           0:           3:           0:      1.0000:  FALSE
F...c...1...:         0.0:         129:           0:           0:           1:      1.0000:  FALSE
EC0-C...2...:     -0.3949:         130:          32:          32:          30:      0.0017:  TRUE
EC0-C...3...:     -0.4240:         131:          36:          35:          36:      0.0000:  TRUE
EC0-C...4...:     -0.1784:         132:          36:          35:          36:      0.0000:  TRUE
EC0-F...1...:         0.0:         133:           1:           4:           5:      1.0000:  FALSE
EC0-H...1...:      0.3776:         134:          36:          35:          36:      0.0000:  TRUE
EC0-Br..1...:         0.0:         135:           1:           2:           3:      1.0000:  FALSE
EC0-Cl..4...:     -0.1966:         136:           9:           8:          12:      0.0072:  TRUE
EC0-N...1...:     -0.2891:         137:           5:           8:           8:      0.0085:  TRUE
EC0-N...2...:     -0.3119:         138:          36:          35:          36:      0.0000:  TRUE
EC0-N...3...:      0.2898:         139:          33:          33:          34:      0.0006:  TRUE
EC0-O...1...:      0.2072:         140:           4:           6:          10:      0.0167:  TRUE
EC0-O...2...:     -0.2524:         141:          30:          30:          31:      0.0006:  TRUE
EC0-S...2...:      0.0106:         142:          15:          21:          15:      0.0072:  TRUE
EC0-S...4...:         0.0:         143:           0:           0:           1:      1.0000:  FALSE
Br..(.......:         0.0:         144:           1:           2:           3:      1.0000:  FALSE
Br..........:         0.0:         145:           1:           2:           3:      1.0000:  FALSE
Cl..(.......:     -0.1011:         146:           9:           5:           9:      0.0093:  TRUE
Cl..........:     -0.1792:         147:           9:           8:          12:      0.0072:  TRUE
Cl..c...1...:         0.0:         148:           0:           3:           3:      1.0000:  FALSE
HALO00000000:      0.0306:         149:          25:          21:          19:      0.0051:  TRUE
HALO00100000:         0.0:         150:           1:           2:           1:      1.0000:  FALSE
HALO01000000:      0.0313:         151:           9:           8:          10:      0.0036:  TRUE
HALO01100000:         0.0:         152:           0:           0:           1:      1.0000:  FALSE
HALO10000000:         0.0:         153:           1:           4:           3:      1.0000:  FALSE
HALO10100000:         0.0:         154:           0:           0:           1:      1.0000:  FALSE
HALO11000000:         0.0:         155:           0:           0:           1:      1.0000:  FALSE
N...#.......:      0.3980:         156:           5:           8:           8:      0.0085:  TRUE
N...#...C...:     -0.0993:         157:           5:           8:           8:      0.0085:  TRUE
N...(.......:      0.4483:         158:          33:          33:          34:      0.0006:  TRUE
N...(...C...:     -0.2152:         159:           7:           6:           9:      0.0071:  TRUE
N...........:      0.3406:         160:          33:          33:          34:      0.0006:  TRUE
N...1.......:     -0.3508:         161:           3:           4:           4:      0.0056:  TRUE
N...1...C...:      0.4045:         162:           2:           4:           3:      0.0131:  TRUE
N...2.......:     -0.1847:         163:          15:          10:          14:      0.0067:  TRUE
N...2...C...:     -0.3562:         164:          15:          10:          13:      0.0069:  TRUE
N...3.......:      0.4359:         165:           2:           1:           2:      0.0108:  TRUE
N...3...C...:      0.2759:         166:           2:           1:           2:      0.0108:  TRUE
N...C...(...:         0.0:         167:           1:           0:           3:      1.0000:  FALSE
N...C.......:      0.0346:         168:           9:           7:          13:      0.0111:  TRUE
N...C...1...:         0.0:         169:           0:           0:           1:      1.0000:  FALSE
N...C...2...:         0.0:         170:           1:           0:           1:      1.0000:  FALSE
N...C...3...:     -0.2916:         171:           3:           6:           4:      0.0136:  TRUE
N...C...C...:      0.1617:         172:           5:           2:           5:      0.0136:  TRUE
N...O...(...:         0.0:         173:           0:           0:           1:      1.0000:  FALSE
N...c...1...:      0.2720:         174:          10:           6:           9:      0.0085:  TRUE
N...c...2...:      0.4225:         175:           8:          11:          10:      0.0063:  TRUE
N...c...3...:         0.0:         176:           0:           1:           1:      1.0000:  FALSE
O...(...(...:      0.2380:         177:          18:          22:          19:      0.0044:  TRUE
O...(.......:     -0.3679:         178:          24:          29:          28:      0.0040:  TRUE
O...(...1...:     -0.0621:         179:           2:           3:           1:      0.0193:  TRUE
O...(...C...:      0.0120:         180:          18:          23:          20:      0.0052:  TRUE
O...(...N...:         0.0:         181:           1:           3:           5:      1.0000:  FALSE
O...(...O...:         0.0:         182:           1:           0:           1:      1.0000:  FALSE
O...........:     -0.0734:         183:          30:          30:          31:      0.0006:  TRUE
O...1.......:     -0.3070:         184:           2:           0:           0:      1.0000:  TRUE
O...=...(...:      0.1181:         185:           2:           3:           7:      0.0231:  TRUE
O...=.......:     -0.2643:         186:           4:           6:          10:      0.0167:  TRUE
O...=...C...:     -0.3411:         187:           2:           3:           3:      0.0075:  TRUE
O...C...(...:      0.0802:         188:           5:           3:           5:      0.0082:  TRUE
O...C.......:      0.1067:         189:          18:          11:          13:      0.0088:  TRUE
O...C...1...:      0.0563:         190:           5:           1:           3:      0.0245:  TRUE
O...C...2...:         0.0:         191:           1:           1:           0:      1.0000:  FALSE
O...C...3...:         0.0:         192:           1:           4:           4:      1.0000:  FALSE
O...C...4...:         0.0:         193:           0:           0:           1:      1.0000:  FALSE
O...C...C...:     -0.1162:         194:           6:           7:           5:      0.0068:  TRUE
